competition,player_id,name,first_name,last_name,team,position,age,apps,mins_played,goals,xg,goals_vs_xg,shots,shots_on_target,shot_conv,xg_per_shot,mins_per_goal
Premier League,510663,Hugo Ekitiké,Hugo,Ekitiké,Liverpool FC,Forward,23.78,28,1810,11,9.9,1.1,65,19,16.92,0.15,164.54545454545453
Premier League,514254,Diego Gómez,Diego,Gómez,Brighton & Hove Albion FC,Midfielder,23.01,28,1944,5,5.33,-0.33,35,14,14.29,0.15,388.8
Premier League,469142,Jan Paul van Hecke,Jan Paul,van Hecke,Brighton & Hove Albion FC,Defender,25.81,29,2581,3,2.16,0.84,19,9,15.79,0.11,860.3333333333334
Premier League,206915,Curtis Jones,Curtis,Jones,Liverpool FC,Midfielder,25.17,27,1347,0,2.07,-2.07,20,6,0.0,0.1,
Premier League,15157,James Milner,James,Milner,Brighton & Hove Albion FC,Midfielder,40.25,19,719,1,1.02,-0.02,8,2,12.5,0.13,719.0
Premier League,231416,Ferdi Kadioglu,Ferdi,Kadioglu,Brighton & Hove Albion FC,Defender,26.48,30,2504,0,1.55,-1.55,21,9,0.0,0.07,
Premier League,60307,Pascal Groß,Pascal,Groß,Brighton & Hove Albion FC,Midfielder,34.8,12,1006,1,0.79,0.21,11,4,9.09,0.07,1006.0
Premier League,243298,Cody Gakpo,Cody,Gakpo,Liverpool FC,Forward,26.9,29,2152,6,6.68,-0.68,69,16,8.7,0.1,358.6666666666667
Premier League,122798,Andy Robertson,Andy,Robertson,Liverpool FC,Defender,32.06,19,767,0,0.32,-0.32,5,1,0.0,0.06,
Premier League,97032,Virgil van Dijk,Virgil,van Dijk,Liverpool FC,Defender,34.74,31,2790,3,2.66,0.34,22,10,13.64,0.12,930.0
Premier League,444102,Evanilson,Francisco Evanilson,de Lima Barbosa,AFC Bournemouth,Forward,26.49,29,2206,6,8.17,-2.17,58,21,10.34,0.14,367.6666666666667
